BryanExMachina,I irrationally hate Jan from the Toyota commercials.,ad,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
QuEeNMeRaNdA,@MTV @Toyota every time this commercial comes on I have to refresh my browser. Why do you want me to hate you? http://t.co/SOlzaBtljR,ad,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
pukeko65,@Insolent_Minx_ @jonobasile @NZStuff I hope not as love my Toyota Corolla hate to think I am supporting that lot,car,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Okafor_Mang,Na so Toyota Highlander take full 4 East...tufiakwa! IGBO men go make you hate a particular Car model,car,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
_princessstacia,i hate when people think there toyota truck is gold,car,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Catalinaaaa_,@EZtheBasedJesus lmao it's time I get one that I actually like. My dad bought me this Toyota a few years ago and I hate it.,car,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
OMGLove_,@Benefit458 it'd cost $100 to fill up ours. That's how much it costs to fill up Toyota Camry here... I hate y'all.....,car,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
bluekayakss,I hate seeing non-luxury cars w/ LED lights. Like honey you're driving a Toyota bye 😂,car,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
nickhall25,Me @KevinSepanski and @TJWatson22 had the worst uber driver today since the first guy declined our fare. I hate Toyota camrys they suck,car,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
_yomo1,There's two cars in my house but no one knows how much I hate riding the bmw. I rather ride the the Toyota 💁🏻,car comparison,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
freedom_grace,@WhyBuyHonda 2006 Chevy equinox. hate it. and a 2006 toyota echo. meh.,car comparison,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
RollinCoalDude,"All us Diesel guys may brand hate on each other's trucks, but at least we ain't driving a lifted Titan or Toyota. 😂 @rollincoalclub",car comparison,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
newsonaust,"#Australia #News ; The ‘evil ambassadors’ Toyota, Coke, Nike hate http://t.co/tyPDeAXgPw READ MORE; http://t.co/nkwxjXzpjj",company,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
mmeddki88557474,"#news The ‘evil ambassadors’ Toyota, Coke, Nike hate http://t.co/RKQYDqTBek",company,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
bykemp,.@theTiser how does @Toyota_Aus get away with comment on ad about towing  mother-in-law away from buffet? Do they hate women? #Toyota,company,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
mARTina_AF_,@MarrNissan I JUST GOT WHY IT SAYS TOYOTA I HATE MY LIFE,company,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
kvngcvrter,Me and Toyota gotta love hate relationship,company,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
