muttbag,243,7.0605869E+017,@Toyota_Aus i love ur advert very funny :-),ad,3/5/2016 10:08 AM,en,0,0,0.8742
megan_hayes,4177,7.0584125E+017,Love it! #yoda #toyota https://t.co/nz83T5GEIY,ad,3/4/2016  7:44 PM,en,0,1,0.6696
manfresi,989,7.0582529E+017,Man I love that Toyota Hilux commercial.,ad,3/4/2016  6:40 PM,en,0,0,0.6369
cherylj24,522,7.0576606E+017,#toyota please for the love of god stop serving me this ad on #spotify #soannoying https://t.co/zHJp1jSljP,ad,3/4/2016  2:45 PM,en,0,1,0.7506
Ravn987,15,7.0560829E+017,"@anna_train You are gorgeous in that Toyota commercial! Didn't know you were also in Frankenstein MD, which I love! https://t.co/o8no87FKMV",ad,3/4/2016  4:18 AM,en,0,1,0.8684
Antwann_,368,7.055638E+017,Swear i LOVE @Toyota 's commercial with the Camry 😂😂,ad,3/4/2016  1:21 AM,en,0,1,0.694
billmossburg,131,7.0553267E+017,I love #Toyota cars but that #prius ad campaign is going to piss off the cops who might write extra tickets to prison drivers,ad,3/3/2016 11:17 PM,en,1,0,-0.7506
love_me_avenue,763,7.0478591E+017,That Toyota advert can go do one.,ad,3/1/2016  9:50 PM,en,0,1,0
TheMaxMiller,602,7.0469955E+017,@Ewing_Jameson I'd love to see Toyota's wind tunnel piano with the DB11,ad,3/1/2016  4:07 PM,en,0,0,0.6369
TyrMactire,98,7.0443295E+017,"I love that the @Toyota Prius commercial starts with ""you can't make this stuff up"". Advertising is entirely lies. You made it up. LOL",ad,2/29/2016 10:27 PM,en,0,0,0.6848
Sun_Toyota,562,7.0442129E+017,"In honor of ""Leap Day"" how about a classic Toyota commercial featuring the ""I love What You Do For Me"" Toyota leap! https://t.co/jmCFJxBIqI",ad,2/29/2016  9:41 PM,en,0,0,0.8268
MarkShep_Lcfc,365,7.0440843E+017,"Love the Toyota advert, just because of the thought of Bowie and Shrek",ad,2/29/2016  8:50 PM,en,0,0,0.6369
Matt2Harrington,850,7.0403088E+017,I'd love to know the song in the Toyota Tacoma commercial,ad,2/28/2016  7:50 PM,en,0,0,0.6369
tybibifebab,4102,7.0378882E+017,Toyota's Tacoma TRD Pro is a truck Marty McFly would love    https://t.co/AVi1N3jriH https://t.co/lNj8JaEFow,ad,2/28/2016  3:48 AM,en,0,0,0.6369
armyofmike,229,7.0377305E+017,"Toyota marketing exec: “ok try this..let’s have the dude from True Blood rob a bank and steal a Prius, then hire extras to love that shi",ad,2/28/2016  2:45 AM,en,0,0,0.0516
PunaniGuru69,507,7.033403E+017,"Toyota did a viet ad, dis why I love Toyota. I love you @Toyota",ad,2/26/2016 10:06 PM,en,0,1,0.8555
kevinashworth,886,7.0333829E+017,"Love me some HECK ON WHEELS still! / Toyota Prius Super Bowl 2016 TV Spot, 'Heck on Wheels' - https://t.co/HSJVuKK4MJ #ispottv",ad,2/26/2016  9:58 PM,en,0,0,0.8553
MrDeads28,326,7.0333047E+017,"So based on @Toyota new commercial, it's totally okay to rob a bank in their Prius bc people will love you &amp; cops won't catch you? 🤔#",ad,2/26/2016  9:27 PM,en,0,3,0.3673
ToyotaElCajon,1471,7.0331494E+017,Why we love Toyota watch the video https://t.co/BuaBXF3EJ6 #ToyotaNation #Toyota,ad,2/26/2016  8:25 PM,en,1,0,0.6369
amylee926,73,7.0302233E+017,"Am I the only one who doesn't love ""Jan"" from #Toyota commercials?",ad,2/26/2016  1:02 AM,en,0,0,-0.5216
jaclynn_9,225,7.0301027E+017,@brookieccb I love that Toyota commercial,ad,2/26/2016 12:14 AM,en,0,1,0.6369
christyblanch,2044,7.0287155E+017,@Toyota This is a cool commercial. And I love my Prius!!!!,ad,2/25/2016  3:03 PM,en,0,0,0.8257
ash_lav,219,7.0270128E+017,Oh MAN do I love the sobotka Toyota commercial.,ad,2/25/2016  3:46 AM,en,0,0,0.6369
N_Y_realness,11,7.0268312E+017,"I love this! @Toyota new #Prius commercial: 4 bank robbers, 3 of which are the Sobotka's from #TheWire #nick #frank #ziggy",ad,2/25/2016  2:34 AM,en,0,0,0.6696
ElbeFanatic,137,7.0266265E+017,"""To catch a #Prius you got to be a #Prius"" - Great one @Toyota Love your ads a lot!",ad,2/25/2016  1:13 AM,en,0,0,0.8622
GlennCrockford,125,7.0608208E+017,Love the look of the Toyota CHR....Top 10 cars launched at Geneva 2016 you should get excited about https://t.co/vxNP8l2Gsm @MailOnline,car,3/5/2016 11:41 AM,en,0,0,0.7964
laura_kayt,91,7.0607101E+017,I just drove a 2.2 litre Toyota Rav 4 and i'm in love 🚙💞 #toyota #rav4,car,3/5/2016 10:57 AM,en,0,0,0.6369
jnkjlezv,2933,7.0592504E+017,@ToyotaRoswell never owned a Toyota but love the look of the Avalon hybrid :),car,3/5/2016  1:17 AM,en,0,0,0.8957
hanabanaboo,146,7.0588136E+017,Love at first sight 🙈🙈💜💜🚗🚗 @Toyota #ToyotaCHR #ToyotaGeneva #AutoExpo2016 https://t.co/34Stpt6Ox1,car,3/4/2016 10:23 PM,en,0,1,0.6369
stefmcguire,536,7.058783E+017,Is it weird I still love my 11 year old car?? #toyota https://t.co/1uPboRbrWc,car,3/4/2016 10:11 PM,en,0,1,0.594
kali_iatrou,388,7.0585152E+017,@UnionParkBMW yeah idk I love my Toyota so I would definitely go back with the same car I had! Toyota Corolla,car,3/4/2016  8:24 PM,en,0,0,0.8508
NewmarketToyota,702,7.0582061E+017,Friday's finally here! Wouldn't you guys love to drive this car? #Toyota #GT86 https://t.co/S896UDgbnY,car,3/4/2016  6:22 PM,en,0,0,-0.5661
AAlasondro,73,7.05719E+017,I love driving. I still drive a 1993 Toyota Camry. I do want to get an elec... #JoshFox #quotation https://t.co/DV0DEilujg,car,3/4/2016 11:38 AM,en,0,0,0.6705
a1_auto1,63,7.0571524E+017,That's the #Toyota #Hilux we all love and remember: https://t.co/Zr6UYpADOq,car,3/4/2016 11:23 AM,en,0,0,0.6369
Juunglej,3334,7.0561264E+017,"I really love that my 1996 Toyota Camry only has 64,500 miles on it 😭😭😭 https://t.co/PaHLsRFFcB",car,3/4/2016  4:35 AM,en,0,1,0.6697
itsmejunmo,11,7.0554753E+017,I love this #ToyotaCHR #toyota #car https://t.co/Txerc4qCaT,car,3/4/2016 12:16 AM,en,0,1,0.6369
NickWMpls,375,7.0552518E+017,"@LanceTheDriver1 @Toyota Perhaps a new Land Cruiser? all new for 2016! ...I love mine, they last forever!",car,3/3/2016 10:48 PM,en,0,0,0.6988
nwbailey5,128,7.0552187E+017,Love my car #toyota #pruis https://t.co/9l53KTnM0w,car,3/3/2016 10:34 PM,en,0,0,0.6369
abrahamjba1,12,7.0551293E+017,@Toyota  I love Toyotas but you guys really messed up on the new Prius it looks so terrible probably ugliest car I seen since PT Cruiser,car,3/3/2016  9:59 PM,en,0,0,-0.9328
ltis1,20,7.0551265E+017,@WLFHNTER @Toyota it was :) love it :),car,3/3/2016  9:58 PM,en,0,1,0.8807
alastairfrance,188,7.0548334E+017,@AutoPap I love an old Toyota... I'm about to sell mine though 😭,car,3/3/2016  8:01 PM,en,0,0,0.6369
Abby_Skeldon,722,7.0546257E+017,Actual in love with the new Toyota aygo😍😥,car,3/3/2016  6:39 PM,en,0,0,0.6369
SteetToyotaJG,48,7.0542122E+017,We love #Toyota Trucks. #TBT #LetsGoPlaces https://t.co/ImvNj1N3F1,car,3/3/2016  3:55 PM,en,0,0,0.6369
