Its_Mark,295,6.8814321E+017,.@Toyota using Gesaffelstein's Hate or Glory to advertise is my favorite thing of 2016 so far.,ad,1/15/2016 11:38 PM,en,0,0,0.4215,FALSE,TRUE,TRUE,FALSE
amoongazer,8,6.8923265E+017,"@Toyota gotta be honest, love my #Rav4Limited, hate the voice command. NEVER works as intended.",car,1/18/2016 11:47 PM,en,0,0,0.5859,FALSE,TRUE,TRUE,FALSE
aphong93,80,6.8781976E+017,"Hate to say it, but a Prius may be in my future. Toyota is the only one that has a Plug-in Hybrid Hatchback. D=",car,1/15/2016  2:13 AM,en,0,1,0.4587,FALSE,FALSE,TRUE,FALSE
AutoNewsBot,2908,6.8870753E+017,#ToyotaNews : 2016 Toyota Prius Ugly Design Forgiven: The hate for the new Toyota Prius was very real when Toy... https://t.co/XXVDEWaAyM,car,1/17/2016  1:00 PM,en,0,0,-0.6597,FALSE,FALSE,FALSE,FALSE
jazzdedogg,75,6.8938452E+017,Sat in a mini cab going back to work. I HATE TOYOTA PRIUS'S. Always feel sick when I'm in them.,car,1/19/2016  9:50 AM,en,0,0,-0.8286,FALSE,FALSE,FALSE,FALSE
lydiamlutz,58,6.8989768E+017,@naomi__dean my dads 1981 Toyota pickup😂 I hate it so much😡😭,car,1/20/2016  7:50 PM,en,0,0,-0.5719,FALSE,FALSE,FALSE,FALSE
mezaluis988,226,6.8894537E+017,So like I fucking have a car and I fucking hate it cuz it's a 2015 Toyota and it to fast fuck that,car,1/18/2016  4:45 AM,en,0,0,-0.6908,FALSE,FALSE,TRUE,FALSE
MrPakiz,2146,6.8697307E+017,@Ihsan_gill i hate Toyota cars 😂,car,1/12/2016  6:08 PM,en,0,0,-0.5719,FALSE,FALSE,TRUE,FALSE
patrick9030,104,6.8821227E+017,Don't hate on #Toyota #Prius #owners https://t.co/u6wdDoeOnu via @YouTube,car,1/16/2016  4:12 AM,en,0,0,0.4585,FALSE,TRUE,FALSE,TRUE
PranTheGreat,74,6.8769879E+017,"""if you hate driving, get a Toyota. it's like a sleeping pill. that's why they made Prius. they made the worst of the worst""",car,1/14/2016  6:12 PM,en,0,0,-0.886,FALSE,TRUE,TRUE,FALSE
therealkldy,5,6.9004395E+017,"#ChildrenInFreezer :When we visit my dad,kids dnt play in that old toyota! I make sure.Coz I'd hate 4it 2accidentally close with them in it",car,1/21/2016  5:31 AM,en,0,0,-0.3802,FALSE,TRUE,TRUE,FALSE
ToyotaSedalia,706,6.8839454E+017,"We'd hate to make you decide on your favorite, but which color of #RAV4 can you see yourself cruising in? #Toyota https://t.co/Sw2SH1uV1U",car,1/16/2016  4:17 PM,en,0,0,-0.09,TRUE,TRUE,FALSE,FALSE
ToyotaTweetClub,954,6.887152E+017,#automobile 2016 Toyota Prius Ugly Design Forgiven: The hate for the new Toyota Prius was very r... https://t.co/oygRcLTNp7 #Toyota #cars,car,1/17/2016  1:31 PM,en,0,0,-0.6597,TRUE,FALSE,FALSE,FALSE
EliMdza_,304,6.8994134E+017,I hate driving in the snow with my truck. A fucking 1992 Toyota Camry drives better than that truck in the snow😒,car comparison,1/20/2016 10:43 PM,en,0,1,-0.2023,FALSE,FALSE,FALSE,TRUE
Mistahsix4,1026,6.8689921E+017,BMW has interiors that makes me hate toyota by the minute ... https://t.co/AfW1LZjZPd,car comparison,1/12/2016  1:15 PM,en,0,0,-0.5719,FALSE,FALSE,TRUE,FALSE
SeeMeTwerk,29,6.8803092E+017,"I hate to say, but the new Chevy Malibu is just as nice as a Toyota Avalon but about 10k cheaper. People, come buy these things!",car comparison,1/15/2016  4:12 PM,en,1,0,0.3903,FALSE,FALSE,FALSE,FALSE
ChristoferVeliz,269,6.9017727E+017,I hate how at Toyota they give us our paycheck stubs 2 days before they actually pay us...,company,1/21/2016  2:20 PM,en,0,0,-0.6249,FALSE,FALSE,TRUE,FALSE
EliFitch,599,6.8943631E+017,Driving a Toyota wow this guy must really hate America  https://t.co/uDd84f6BOn,company,1/19/2016  1:16 PM,en,0,0,-0.0498,FALSE,FALSE,TRUE,FALSE
gracerodriguez,9858,6.8952525E+017,@shiondev Hate it. I like brands who hire people to actually talk to me. Like @Toyota did: https://t.co/NqqXZ5dflT Or was that faked better?,company,1/19/2016  7:10 PM,en,0,0,0.4939,FALSE,TRUE,TRUE,FALSE
HarsiSodhi,92,6.8949736E+017,"Even though i hate Toyota, but if you got one and go to a showroom to do car service. I'm sorry but you are stupid.",company,1/19/2016  5:19 PM,en,0,0,-0.8126,FALSE,FALSE,FALSE,FALSE
kellyjohnsonn26,389,6.8955922E+017,"@BrennaKing_ don't hate on Toyota, I'll fight u",company,1/19/2016  9:25 PM,en,0,0,0.1022,FALSE,TRUE,TRUE,FALSE
Massvwatches,121,6.9026047E+017,@TheDailyShow @sonofselassie @hasanminhaj Dunno why people hate gun companies so much.You dont blame Toyota or Budweiser for drunk drivers,company,1/21/2016  7:51 PM,en,0,0,-0.7352,FALSE,FALSE,TRUE,TRUE
MidwstHotMess,3273,6.8750873E+017,@SassyVAGirl @_TheDieselMan_ I love Lexus but hate Toyota,company,1/14/2016  5:37 AM,en,0,0,-0.5346,FALSE,FALSE,TRUE,FALSE
