BryanExMachina,I irrationally hate Jan from the Toyota commercials.,no,False,True,True,False,False,False,False,True
pukeko65,@Insolent_Minx_ @jonobasile @NZStuff I hope not as love my Toyota Corolla hate to think I am supporting that lot,no,False,False,True,False,False,True,False,True
Okafor_Mang,Na so Toyota Highlander take full 4 East...tufiakwa! IGBO men go make you hate a particular Car model,no,False,True,True,False,False,False,False,False
_princessstacia,i hate when people think there toyota truck is gold,no,False,False,True,False,False,False,False,True
OMGLove_,@Benefit458 it'd cost $100 to fill up ours. That's how much it costs to fill up Toyota Camry here... I hate y'all.....,no,False,False,True,False,False,False,False,True
freedom_grace,@WhyBuyHonda 2006 Chevy equinox. hate it. and a 2006 toyota echo. meh.,no,False,True,True,False,False,False,False,True
mmeddki88557474,"#news The ‘evil ambassadors’ Toyota, Coke, Nike hate http://t.co/RKQYDqTBek",no,False,True,True,False,False,False,False,True
bre_ndaxoxo,I just simply can't put into words how much hate I'm feeling towards these Toyota walker scion employees,no,False,True,True,False,False,False,False,True
miss__scarlet,who is this woman in these #toyota commercials? I hate her.,no,False,True,False,False,False,False,False,True
callahan_deej97,"okay, toyota camry, we get it. you hate us. that's fine. we hate you too.",no,False,True,True,False,False,False,False,True
kccars,"Toyota Tacoma $14000: I am selling my 2007 Toyota Tacoma. I hate to get rid of this truck, but I am in need of... http://t.co/YN2Erq3ne6",no,False,False,True,False,False,False,True,False
CowshedDan,"Hate Toyota Prius cabs, more like Brian the snail cabs",no,False,False,True,False,False,False,False,False
akashiseii,My hate for Toyota corollas grow every day to the point my family has to tell me about their experiences with corolla drivers,no,False,False,True,False,False,False,True,True
tyrabnks,why does everyone hate Toyota Prius? it's such a nice car,no,False,False,True,False,False,False,False,False
whyracheal,IF YOU EVER SEE ME IN A STUPID ASS TOYOTA COROLLA ITS MY MOMS CAR AND I HATE IT TOO,no,False,False,True,False,False,True,False,True
shutterMuggz,"@HomelessLive 2002 Toyota Camry like 180,000 and it has a lot of weird electrical issues. Kinda hate it... Need to replace soon",no,False,False,True,False,False,False,True,True
Rev_Xavier,"And yes. If you have a Toyota Prius or any year of a Chevy Impala and you're hogging the fast lane, I hate you.",no,False,True,True,False,False,False,False,False
TylerShivers_,It's kinda a love hate relationship. #Toyota https://t.co/TZw20HxLK2,no,False,True,False,True,False,False,False,False
Cosa_Rica,I haaaate this Toyota dealership. Hate.,no,False,True,True,False,False,False,False,False
